Topic,Characteristic,Note,Total,
Household characteristics,  5 rooms,,36265,
Household characteristics,  6 rooms,,35265,
Household characteristics,  7 rooms,,28750,
Household characteristics,  8 or more rooms,,65590,
Household characteristics,Average number of rooms per dwelling,,6,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,54,244575,
Household characteristics,  One person or fewer per room,,229855,
Household characteristics,  More than one person per room,,14720,
Household characteristics,Total - Private households by housing suitability - 25% sample data,55,244575,
Household characteristics,  Suitable,,216910,
Household characteristics,  Not suitable,,27660,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,56,244575,
Household characteristics,  1960 or before,,17730,
Household characteristics,  1961 to 1980,,75015,
Household characteristics,  1981 to 1990,,47955,
Household characteristics,  1991 to 2000,,46745,
Household characteristics,  2001 to 2005,,23530,
Household characteristics,  2006 to 2010,,15745,
Household characteristics,  2011 to 2015,,9550,
Household characteristics,  2016 to 2021,57,8300,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,58,244575,
Household characteristics,  Only regular maintenance and minor repairs needed,,232950,
Household characteristics,  Major repairs needed,,11625,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,59,244575,
Household characteristics,  One-maintainer household,,110565,
Household characteristics,  Two-maintainer household,,112395,
Household characteristics,  Three-or-more-maintainer household,,21620,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,60,244575,
Household characteristics,  15 to 24 years,,3595,
Household characteristics,  25 to 34 years,,24745,
Household characteristics,  35 to 44 years,,40875,
Household characteristics,  45 to 54 years,,51605,
Household characteristics,  55 to 64 years,,58260,
Household characteristics,  65 to 74 years,,38545,
Household characteristics,  75 to 84 years,,19955,
Household characteristics,  85 years and over,,6995,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",61,243100,
Household characteristics,  Spending less than 30% of income on shelter costs,,174940,
Household characteristics,  Spending 30% or more of income on shelter costs,,68155,
Household characteristics,    30% to less than 100%,,60495,
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,62,244575,
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',,95180,
Household characteristics,    Spending 30% or more of income on shelter costs only,,57695,
Household characteristics,    Not suitable only,,19345,
Household characteristics,    Major repairs needed only,,6285,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',,6515,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',,3535,
Household characteristics,    'Not suitable' and 'major repairs needed',,1390,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',,415,
Household characteristics,  Acceptable housing,,149400,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",63,235435,
Household characteristics,  In core need,,35085,
Household characteristics,  Not in core need,,200350,
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",,172220,
Household characteristics,  % of owner households with a mortgage,64,60.3,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,61,23.5,
Household characteristics,  % in core housing need,63,9.6,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),65,1800,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),65,1974,
Household characteristics,  Median value of dwellings ($),66,900000,
Household characteristics,  Average value of dwellings ($),66,999000,
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",,72350,
Household characteristics,  % of tenant households in subsidized housing,67,12.9,
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,61,39.1,
Household characteristics,  % in core housing need,63,28,
Household characteristics,  Median monthly shelter costs for rented dwellings ($),65,1600,
Household characteristics,  Average monthly shelter costs for rented dwellings ($),65,1650,
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",,0,
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",61,,...
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",65,,...
Indigenous ancestry,Total - Indigenous ancestry for the population in private households - 25% sample data,68,712825,
Indigenous ancestry,  Indigenous ancestry (only),69,755,
Indigenous ancestry,    Single Indigenous ancestry (only),70,750,
Indigenous ancestry,      First Nations (North American Indian) single ancestry,,490,
Indigenous ancestry,      Métis single ancestry,,255,
Indigenous ancestry,      Inuit single ancestry,,0,
Indigenous ancestry,    Multiple Indigenous ancestries (only),71,0,
Indigenous ancestry,      First Nations (North American Indian) and Métis ancestry only,,0,
Indigenous ancestry,      First Nations (North American Indian) and Inuit ancestry only,,0,
Indigenous ancestry,      Métis and Inuit ancestry only,,0,
Indigenous ancestry,      First Nations (North American Indian) and Métis and Inuit ancestry only,,0,
Indigenous ancestry,  Indigenous and non-Indigenous ancestries,72,4295,
Indigenous ancestry,    Single Indigenous and non-Indigenous ancestries,73,4200,
Indigenous ancestry,      First Nations (North American Indian) and non-Indigenous ancestry only,,3050,
Indigenous ancestry,      Métis and non-Indigenous ancestry only,,1135,
Indigenous ancestry,      Inuit and non-Indigenous ancestry only,,15,
Indigenous ancestry,    Multiple Indigenous and non-Indigenous ancestries,74,90,
Indigenous ancestry,      First Nations (North American Indian) and Métis and non-Indigenous ancestry only,,70,
Indigenous ancestry,      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,,25,
Indigenous ancestry,      Métis and Inuit and non-Indigenous ancestry only,,0,
Indigenous ancestry,      First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,,0,
Indigenous ancestry,  Non-Indigenous ancestry only,75,707780,
Citizenship,Total - Citizenship for the population in private households - 25% sample data,76,712825,
Citizenship,  Canadian citizens,77,600215,
Citizenship,    Canadian citizens aged under 18,,118190,
Citizenship,    Canadian citizens aged 18 and over,,482020,
Citizenship,  Not Canadian citizens,78,112610,
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,79,712825,
Immigrant status and period of immigration,  Non-immigrants,80,306375,
Immigrant status and period of immigration,  Immigrants,81,379425,
Immigrant status and period of immigration,    Before 1980,,58680,
Immigrant status and period of immigration,    1980 to 1990,,47340,
Immigrant status and period of immigration,    1991 to 2000,,83110,
Immigrant status and period of immigration,    2001 to 2010,,95400,
Immigrant status and period of immigration,    2011 to 2021,82,94895,
Immigrant status and period of immigration,      2011 to 2015,,42390,
Immigrant status and period of immigration,      2016 to 2021,,52500,
Immigrant status and period of immigration,  Non-permanent residents,83,27030,
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,84,379420,
Age at immigration,  Under 5 years,,32680,
Age at immigration,  5 to 14 years,,63840,
Age at immigration,  15 to 24 years,,70345,
Age at immigration,  25 to 44 years,,173645,
Age at immigration,  45 years and over,,38915,
Selected places of birth for the immigrant population,Total - Place of birth for the immigrant population in private households - 25% sample data,85,379420,
Selected places of birth for the immigrant population,  Americas,,46530,
Selected places of birth for the immigrant population,    Brazil,,1275,
Selected places of birth for the immigrant population,    Colombia,,3385,
Selected places of birth for the immigrant population,    El Salvador,,815,
Selected places of birth for the immigrant population,    Guyana,,6240,
Selected places of birth for the immigrant population,    Haiti,,155,
Selected places of birth for the immigrant population,    Jamaica,,11015,
Selected places of birth for the immigrant population,    Mexico,,1390,
Selected places of birth for the immigrant population,    Peru,,1335,
Selected places of birth for the immigrant population,    Trinidad and Tobago,,5760,
Selected places of birth for the immigrant population,    United States of America,,5580,
Selected places of birth for the immigrant population,    Other places of birth in Americas,,9565,
Selected places of birth for the immigrant population,  Europe,,77850,
Selected places of birth for the immigrant population,    Bosnia and Herzegovina,,2385,
Selected places of birth for the immigrant population,    Croatia,,3035,
Selected places of birth for the immigrant population,    France,,625,
Selected places of birth for the immigrant population,    Germany,,2115,
Selected places of birth for the immigrant population,    Greece,,1385,
Selected places of birth for the immigrant population,    Hungary,,690,
Selected places of birth for the immigrant population,    Italy,,6805,
Selected places of birth for the immigrant population,    Netherlands,,475,
Selected places of birth for the immigrant population,    Poland,,19025,
Selected places of birth for the immigrant population,    Portugal,,10415,
Selected places of birth for the immigrant population,    Romania,,2645,
Selected places of birth for the immigrant population,    Russian Federation,,1985,
Selected places of birth for the immigrant population,    Serbia,86,1835,
Selected places of birth for the immigrant population,    Ukraine,,4675,
Selected places of birth for the immigrant population,    United Kingdom,87,9225,
Selected places of birth for the immigrant population,    Other places of birth in Europe,,10525,
Selected places of birth for the immigrant population,  Africa,,25430,
Selected places of birth for the immigrant population,    Algeria,,340,
Selected places of birth for the immigrant population,"    Congo, Democratic Republic of the",,265,
Selected places of birth for the immigrant population,    Egypt,,8975,
Selected places of birth for the immigrant population,    Eritrea,,255,
Selected places of birth for the immigrant population,    Ethiopia,,480,
Selected places of birth for the immigrant population,    Morocco,,460,
Selected places of birth for the immigrant population,    Nigeria,,2920,
Selected places of birth for the immigrant population,    Somalia,,905,
Selected places of birth for the immigrant population,"    South Africa, Republic of",,1170,
Selected places of birth for the immigrant population,    Other places of birth in Africa,,9660,
Selected places of birth for the immigrant population,  Asia,,228910,
Selected places of birth for the immigrant population,    Afghanistan,,2470,
Selected places of birth for the immigrant population,    Iran,88,2675,
Selected places of birth for the immigrant population,    Iraq,,8415,
Selected places of birth for the immigrant population,    Lebanon,,3315,
Selected places of birth for the immigrant population,    Syria,89,6705,
Selected places of birth for the immigrant population,    Turkey,,985,
Selected places of birth for the immigrant population,    China,90,22830,
Selected places of birth for the immigrant population,    Hong Kong,91,6655,
Selected places of birth for the immigrant population,"    Korea, South",92,4125,
Selected places of birth for the immigrant population,    Taiwan,,1685,
Selected places of birth for the immigrant population,    Philippines,,28670,
Selected places of birth for the immigrant population,    Viet Nam,,10950,
Selected places of birth for the immigrant population,    Bangladesh,,3065,
Selected places of birth for the immigrant population,    India,,61255,
Selected places of birth for the immigrant population,    Pakistan,,33805,
Selected places of birth for the immigrant population,    Sri Lanka,,7785,
Selected places of birth for the immigrant population,    Other places of birth in Asia,,23530,
Selected places of birth for the immigrant population,  Oceania and other places of birth,93,700,
Selected places of birth for the recent immigrant population ,Total - Place of birth for the recent immigrant population in private households - 25% sample data,94,52505,
Selected places of birth for the recent immigrant population ,  Americas,,3975,
Selected places of birth for the recent immigrant population ,    Brazil,,275,
Selected places of birth for the recent immigrant population ,    Colombia,,310,
Selected places of birth for the recent immigrant population ,    Haiti,,15,
Selected places of birth for the recent immigrant population ,    Jamaica,,705,
Selected places of birth for the recent immigrant population ,    Mexico,,270,
Selected places of birth for the recent immigrant population ,    United States of America,,1260,
Selected places of birth for the recent immigrant population ,    Venezuela,95,195,
Selected places of birth for the recent immigrant population ,    Other places of birth in Americas,,945,
Selected places of birth for the recent immigrant population ,  Europe,,3120,
Selected places of birth for the recent immigrant population ,    France,,80,
Selected places of birth for the recent immigrant population ,    Germany,,55,
Selected places of birth for the recent immigrant population ,    Ireland,96,105,
Selected places of birth for the recent immigrant population ,    Italy,,45,
Selected places of birth for the recent immigrant population ,    Russian Federation,,185,
Selected places of birth for the recent immigrant population ,    Ukraine,,610,
Selected places of birth for the recent immigrant population ,    United Kingdom,87,260,
Selected places of birth for the recent immigrant population ,    Other places of birth in Europe,,1775,
Selected places of birth for the recent immigrant population ,  Africa,,4550,
Selected places of birth for the recent immigrant population ,    Algeria,,70,
Selected places of birth for the recent immigrant population ,    Burundi,,0,
Selected places of birth for the recent immigrant population ,    Cameroon,,45,
Selected places of birth for the recent immigrant population ,"    Congo, Democratic Republic of the",,0,
Selected places of birth for the recent immigrant population ,    Côte d'Ivoire,,105,
Selected places of birth for the recent immigrant population ,    Egypt,,1555,
Selected places of birth for the recent immigrant population ,    Eritrea,,40,
Selected places of birth for the recent immigrant population ,    Ethiopia,,65,
Selected places of birth for the recent immigrant population ,    Morocco,,135,
Selected places of birth for the recent immigrant population ,    Nigeria,,1275,
Selected places of birth for the recent immigrant population ,    Somalia,,105,
Selected places of birth for the recent immigrant population ,"    South Africa, Republic of",,165,
Selected places of birth for the recent immigrant population ,    Sudan,97,140,
Selected places of birth for the recent immigrant population ,    Tunisia,,65,
Selected places of birth for the recent immigrant population ,    Other places of birth in Africa,,770,
Selected places of birth for the recent immigrant population ,  Asia,,40800,
Selected places of birth for the recent immigrant population ,    Afghanistan,,355,
Selected places of birth for the recent immigrant population ,    Bangladesh,,455,
Selected places of birth for the recent immigrant population ,    China,90,2680,
Selected places of birth for the recent immigrant population ,    Hong Kong,91,95,
Selected places of birth for the recent immigrant population ,    India,,16580,
Selected places of birth for the recent immigrant population ,    Iran,88,260,
Selected places of birth for the recent immigrant population ,    Iraq,,2045,
Selected places of birth for the recent immigrant population ,    Israel,,50,
Selected places of birth for the recent immigrant population ,    Japan,,60,
Selected places of birth for the recent immigrant population ,    Jordan,,315,
Selected places of birth for the recent immigrant population ,"    Korea, South",92,285,
Selected places of birth for the recent immigrant population ,    Lebanon,,495,
Selected places of birth for the recent immigrant population ,    Nepal,,225,
Selected places of birth for the recent immigrant population ,    Pakistan,,4305,
Selected places of birth for the recent immigrant population ,    Philippines,,3065,
Selected places of birth for the recent immigrant population ,    Saudi Arabia,,1030,
Selected places of birth for the recent immigrant population ,    Sri Lanka,,400,
Selected places of birth for the recent immigrant population ,    Syria,89,4375,
Selected places of birth for the recent immigrant population ,    Turkey,,290,
Selected places of birth for the recent immigrant population ,    United Arab Emirates,,1265,
Selected places of birth for the recent immigrant population ,    Viet Nam,,745,
Selected places of birth for the recent immigrant population ,    Other places of birth in Asia,,1420,
Selected places of birth for the recent immigrant population ,  Oceania and other,93,65,
Selected places of birth for the recent immigrant population ,    Australia,,45,
Selected places of birth for the recent immigrant population ,    Other places of birth,98,15,
Generation status,Total - Generation status for the population in private households - 25% sample data,99,712825,
Generation status,  First generation,100,412535,
Generation status,  Second generation,101,192000,
Generation status,  Third generation or more,102,108295,
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,103,320745,
Admission category and applicant type,  Economic immigrants,104,179000,
Admission category and applicant type,    Principal applicants,105,69680,
Admission category and applicant type,    Secondary applicants,106,109320,
Admission category and applicant type,  Immigrants sponsored by family,107,89420,
Admission category and applicant type,  Refugees,108,48575,
Admission category and applicant type,  Other immigrants,109,3755,
Pre-admission experience,Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,110,320745,
Pre-admission experience,  Asylum claim before admission,111,18860,
Pre-admission experience,  Work permits only before admission,112,21710,
Pre-admission experience,  Study permits only before admission,113,5400,
Pre-admission experience,  Work and study permits before admission,114,11195,
Pre-admission experience,  Other permits before admission,115,1775,
Pre-admission experience,  No pre-admission experience,116,261805,
Visible minority,Total - Visible minority for the population in private households - 25% sample data,117,712825,
Visible minority,  Total visible minority population,118,441480,
Visible minority,    South Asian,,180800,
Visible minority,    Chinese,,52095,
Visible minority,    Black,,49220,
Visible minority,    Filipino,,38335,
Visible minority,    Arab,,42805,
Visible minority,    Latin American,,17325,
Visible minority,    Southeast Asian,,17165,
Visible minority,    West Asian,,8510,
Visible minority,    Korean,,5825,
Visible minority,    Japanese,,2115,
Visible minority,"    Visible minority, n.i.e.",119,10890,
Visible minority,    Multiple visible minorities,,16410,
Visible minority,  Not a visible minority,120,271345,
Ethnic or cultural origin,Total - Ethnic or cultural origin for the population in private households - 25% sample data,121,712825,
Ethnic or cultural origin,  Canadian,,42315,
Ethnic or cultural origin,  English,,46415,
Ethnic or cultural origin,  Irish,,39785,
Ethnic or cultural origin,  Scottish,,36800,
Ethnic or cultural origin,"  French, n.o.s.",122,15425,
Ethnic or cultural origin,  German,,19285,
Ethnic or cultural origin,  Chinese,,55350,
Ethnic or cultural origin,  Italian,,38075,
Ethnic or cultural origin,  Indian (India),,90560,
Ethnic or cultural origin,  Ukrainian,,17350,
Ethnic or cultural origin,  Dutch,,6125,
Ethnic or cultural origin,  Polish,,36095,
Ethnic or cultural origin,  Québécois,,445,
Ethnic or cultural origin,"  British Isles, n.o.s.",123,12325,
Ethnic or cultural origin,  Filipino,,37325,
Ethnic or cultural origin,  French Canadian,,3120,
Ethnic or cultural origin,"  Caucasian (White), n.o.s.",124,4980,
Ethnic or cultural origin,"  First Nations (North American Indian), n.o.s.",125,1615,
Ethnic or cultural origin,  Métis,,1460,
Ethnic or cultural origin,"  European, n.o.s.",126,6500,
Ethnic or cultural origin,  Russian,,6265,
Ethnic or cultural origin,  Norwegian,,1235,
Ethnic or cultural origin,  Welsh,,3880,
Ethnic or cultural origin,  Portuguese,,27845,
Ethnic or cultural origin,  American,,3425,
Ethnic or cultural origin,  Spanish,,9865,
Ethnic or cultural origin,  Swedish,,1420,
Ethnic or cultural origin,  Hungarian,,3945,
Ethnic or cultural origin,  Acadian,,600,
Ethnic or cultural origin,  Pakistani,,41025,
Ethnic or cultural origin,"  African, n.o.s.",127,9710,
Ethnic or cultural origin,  Jewish,,2065,
Ethnic or cultural origin,  Punjabi,,10725,
Ethnic or cultural origin,  Vietnamese,,15010,
Ethnic or cultural origin,"  Arab, n.o.s.",128,16645,
Ethnic or cultural origin,  Greek,,5890,
Ethnic or cultural origin,  Jamaican,,15860,
Ethnic or cultural origin,"  Asian, n.o.s.",129,9685,
Ethnic or cultural origin,"  Cree, n.o.s.",130,100,
Ethnic or cultural origin,  Korean,,6025,
Ethnic or cultural origin,  Romanian,,3755,
Ethnic or cultural origin,  Lebanese,,4645,
Ethnic or cultural origin,  Iranian,,3165,
Ethnic or cultural origin,"  Christian, n.i.e.",131,6110,
Ethnic or cultural origin,  Danish,,990,
Ethnic or cultural origin,"  North American Indigenous, n.o.s.",132,540,
Ethnic or cultural origin,  Sikh,,6110,
Ethnic or cultural origin,  Austrian,,1940,
Ethnic or cultural origin,  Belgian,,665,
Ethnic or cultural origin,  Haitian,,300,
Ethnic or cultural origin,  Hindu,,11545,
Ethnic or cultural origin,  Mexican,,2350,
Ethnic or cultural origin,  Mennonite,,200,
Ethnic or cultural origin,  Swiss,,980,
Ethnic or cultural origin,  Finnish,,995,
Ethnic or cultural origin,  Sri Lankan,,7370,
Ethnic or cultural origin,  Croatian,,7955,
Ethnic or cultural origin,  Japanese,,2875,
Ethnic or cultural origin,"  South Asian, n.o.s.",133,10410,
Ethnic or cultural origin,"  Mi'kmaq, n.o.s.",134,415,
Ethnic or cultural origin,"  Northern European, n.o.s.",135,725,
Ethnic or cultural origin,  Muslim,,10055,
Ethnic or cultural origin,  Egyptian,,9950,
Ethnic or cultural origin,"  Latin, Central or South American, n.o.s.",136,3455,
Ethnic or cultural origin,  Tamil,,6505,
Ethnic or cultural origin,  Icelandic,,200,
Ethnic or cultural origin,  Colombian,,3820,
Ethnic or cultural origin,  Moroccan,,530,
Ethnic or cultural origin,  Czech,,1485,
Ethnic or cultural origin,  Syrian,,6385,
Ethnic or cultural origin,  Guyanese,,6165,
Ethnic or cultural origin,  Afghan,,4085,
Ethnic or cultural origin,"  Black, n.o.s.",137,4015,
Ethnic or cultural origin,  Serbian,,4680,
Ethnic or cultural origin,  Ojibway,,300,
Ethnic or cultural origin,  Newfoundlander,,750,
Ethnic or cultural origin,  Hong Konger,,2595,
Ethnic or cultural origin,  Ontarian,,1060,
Ethnic or cultural origin,  Persian,,1685,
Ethnic or cultural origin,  Trinidadian/Tobagonian,,5460,
Ethnic or cultural origin,  Turkish,,3150,
Ethnic or cultural origin,"  Inuit, n.o.s.",138,45,
Ethnic or cultural origin,  Bangladeshi,,2740,
Ethnic or cultural origin,  Algerian,,355,
Ethnic or cultural origin,  Brazilian,,1630,
Ethnic or cultural origin,  Nigerian,,2470,
Ethnic or cultural origin,  Armenian,,1295,
Ethnic or cultural origin,  Slovak,,1385,
Ethnic or cultural origin,"  Eastern European, n.o.s.",139,1275,
Ethnic or cultural origin,  Somali,,2165,
Ethnic or cultural origin,  Taiwanese,,1415,
Ethnic or cultural origin,  Iraqi,,5695,
Ethnic or cultural origin,  Salvadorean,,940,
Ethnic or cultural origin,  African Caribbean,,3695,
Ethnic or cultural origin,"  East or Southeast Asian, n.o.s.",140,3210,
Ethnic or cultural origin,"  West or Central Asian or Middle Eastern, n.o.s.",141,4730,
Ethnic or cultural origin,"  Caribbean, n.o.s.",142,3050,
Ethnic or cultural origin,  Algonquin,,85,
Ethnic or cultural origin,"  West Indian, n.o.s.",143,4120,
Ethnic or cultural origin,  Lithuanian,,1160,
Ethnic or cultural origin,  South African,,1030,
Ethnic or cultural origin,  Australian,,475,
Ethnic or cultural origin,  Palestinian,,6080,
Ethnic or cultural origin,  Chilean,,1225,
Ethnic or cultural origin,  Congolese,,285,
Ethnic or cultural origin,  Nova Scotian,,365,
Ethnic or cultural origin,  Ethiopian,,740,
Ethnic or cultural origin,"  Hispanic, n.o.s.",144,1565,
Ethnic or cultural origin,  Peruvian,,1580,
Ethnic or cultural origin,  Yoruba,,1220,
Ethnic or cultural origin,  Cambodian (Khmer),,295,
Ethnic or cultural origin,  Berber,,180,
Ethnic or cultural origin,  Albanian,,3830,
Ethnic or cultural origin,  Maltese,,2985,
Ethnic or cultural origin,  Macedonian,,2070,
Ethnic or cultural origin,  Slovenian,,2470,
Ethnic or cultural origin,"  Western European, n.o.s.",145,300,
Ethnic or cultural origin,  New Brunswicker,,105,
Ethnic or cultural origin,  Gujarati,,2210,
Ethnic or cultural origin,  Eritrean,,490,
Ethnic or cultural origin,  African Canadian,,1315,
Ethnic or cultural origin,  Israeli,,360,
Ethnic or cultural origin,  Mohawk,,180,
Ethnic or cultural origin,"  Czechoslovakian, n.o.s.",146,320,
Ethnic or cultural origin,  Bulgarian,,1395,
Ethnic or cultural origin,  Albertan,,25,
Ethnic or cultural origin,  Ghanaian,,1540,
Ethnic or cultural origin,  Barbadian,,1380,
Ethnic or cultural origin,  African American,,780,
Ethnic or cultural origin,"  Yugoslavian, n.o.s.",147,750,
Ethnic or cultural origin,  Tunisian,,155,
Ethnic or cultural origin,"  Slavic, n.o.s.",148,1540,
Ethnic or cultural origin,  Cuban,,965,
Ethnic or cultural origin,  Bosnian,,2125,
Ethnic or cultural origin,  Venezuelan,,930,
Ethnic or cultural origin,"  Innu/Montagnais, n.o.s.",149,0,
Ethnic or cultural origin,  Latvian,,440,
Ethnic or cultural origin,  Bengali,,1560,
Ethnic or cultural origin,  Cameroonian,,75,
Ethnic or cultural origin,  Guatemalan,,565,
Ethnic or cultural origin,  Indonesian,,1180,
Ethnic or cultural origin,  Laotian,,380,
Ethnic or cultural origin,  Ilocano,,755,
Ethnic or cultural origin,  Northern Irish,,545,
Ethnic or cultural origin,"  Celtic, n.o.s.",150,240,
Ethnic or cultural origin,  British Columbian,,20,
Ethnic or cultural origin,  Ecuadorian,,1305,
Ethnic or cultural origin,  Franco Ontarian,,90,
Ethnic or cultural origin,  Argentinian,,790,
Ethnic or cultural origin,  Estonian,,385,
Ethnic or cultural origin,  Kurdish,,490,
Ethnic or cultural origin,  Fijian,,220,
Ethnic or cultural origin,  Jatt,,690,
Ethnic or cultural origin,"  North American, n.o.s.",151,185,
Ethnic or cultural origin,  Coptic,,3860,
Ethnic or cultural origin,  Thai,,300,
Ethnic or cultural origin,  Dominican,,560,
Ethnic or cultural origin,  Nepali,,1005,
Ethnic or cultural origin,  Kabyle,,25,
Ethnic or cultural origin,  Assyrian,,1120,
Ethnic or cultural origin,  Igbo,,465,
Ethnic or cultural origin,  Byelorussian,,535,
Ethnic or cultural origin,"  Dene, n.o.s.",152,0,
Ethnic or cultural origin,"  Blackfoot, n.o.s.",153,30,
Ethnic or cultural origin,  Abenaki,,0,
Ethnic or cultural origin,  Moldovan,,220,
Ethnic or cultural origin,"  Iroquois (Haudenosaunee), n.o.s.",154,80,
Ethnic or cultural origin,  New Zealander,,85,
Ethnic or cultural origin,  Sudanese,,945,
Ethnic or cultural origin,  Breton,,0,
Ethnic or cultural origin,  Pennsylvania Dutch,,165,
Ethnic or cultural origin,  Malaysian,,605,
Ethnic or cultural origin,  Plains Cree,,40,
Ethnic or cultural origin,"  North African, n.o.s.",155,290,
Ethnic or cultural origin,  Huron (Wendat),,55,
Ethnic or cultural origin,  Saskatchewanian,,35,
Ethnic or cultural origin,  Buddhist,,705,
Ethnic or cultural origin,  Gaspesian,,35,
Ethnic or cultural origin,  Norman,,10,
Ethnic or cultural origin,"  Southern or East African, n.o.s.",156,720,
Ethnic or cultural origin,  Ivorian,,245,
Ethnic or cultural origin,  Saulteaux,,0,
Ethnic or cultural origin,"  Anishinaabe, n.o.s.",157,10,
Ethnic or cultural origin,  Burundian,,35,
Ethnic or cultural origin,  Tigrinya,,25,
Ethnic or cultural origin,  Nicaraguan,,340,
Ethnic or cultural origin,  Mauritian,,805,
Ethnic or cultural origin,  Kenyan,,515,
Ethnic or cultural origin,  Oji-Cree,,0,
Ethnic or cultural origin,  Vincentian,,580,
Ethnic or cultural origin,  Jordanian,,1360,
Ethnic or cultural origin,  Manitoban,,45,
Ethnic or cultural origin,  Cape Bretoner,,50,
Ethnic or cultural origin,  Rwandan,,100,
Ethnic or cultural origin,  Grenadian,,665,
Ethnic or cultural origin,  Malayali,,965,
Ethnic or cultural origin,  Chaldean,,725,
Ethnic or cultural origin,  Sinhalese,,840,
Ethnic or cultural origin,  Mayan,,190,
Ethnic or cultural origin,  Honduran,,195,
Ethnic or cultural origin,  Cherokee,,35,
Ethnic or cultural origin,  Qalipu Mi'kmaq,,65,
Ethnic or cultural origin,  Indo-Caribbean,,840,
Ethnic or cultural origin,  Flemish,,75,
Ethnic or cultural origin,  United Empire Loyalist,,125,
Ethnic or cultural origin,  Senegalese,,40,
Ethnic or cultural origin,  Azerbaijani,,110,
Ethnic or cultural origin,  Sicilian,,175,
Ethnic or cultural origin,  Pashtun,,1205,
Ethnic or cultural origin,  Malay,,510,
Ethnic or cultural origin,  Goan,,2125,
Ethnic or cultural origin,"  Bantu, n.o.s.",158,135,
Ethnic or cultural origin,  Tibetan,,310,
Ethnic or cultural origin,  Zimbabwean,,195,
Ethnic or cultural origin,  Burmese,,230,
Ethnic or cultural origin,  Mongolian,,275,
Ethnic or cultural origin,  Azorean,,640,
Ethnic or cultural origin,  Atikamekw,,0,
Ethnic or cultural origin,  Bamileke,,0,
Ethnic or cultural origin,  Indo-Guyanese,,620,
Ethnic or cultural origin,  Ugandan,,170,
Ethnic or cultural origin,  Oromo,,70,
Ethnic or cultural origin,  Tanzanian,,370,
Ethnic or cultural origin,  Yemeni,,490,
Ethnic or cultural origin,  Central African,,45,
Ethnic or cultural origin,  Libyan,,265,
Ethnic or cultural origin,  Basque,,90,
Ethnic or cultural origin,  Uruguayan,,475,
Ethnic or cultural origin,"  Akan, n.o.s.",159,350,
Ethnic or cultural origin,"  Central or West African, n.o.s.",160,145,
Ethnic or cultural origin,  Igorot,,95,
Ethnic or cultural origin,  Fulani,,85,
Ethnic or cultural origin,  Woodland Cree,,0,
Ethnic or cultural origin,  Guinean,,60,
Ethnic or cultural origin,  St. Lucian,,235,
Ethnic or cultural origin,  Prince Edward Islander,,55,
Ethnic or cultural origin,  Maliseet,,0,
Ethnic or cultural origin,  Beninese,,125,
Ethnic or cultural origin,  Telugu,,740,
Ethnic or cultural origin,  Roma,,160,
Ethnic or cultural origin,  Costa Rican,,165,
Ethnic or cultural origin,  African Nova Scotian,,145,
Ethnic or cultural origin,  Malagasy,,55,
Ethnic or cultural origin,  Kashmiri,,630,
Ethnic or cultural origin,  Singaporean,,180,
Ethnic or cultural origin,  Karen,,0,
Ethnic or cultural origin,  Edo,,330,
Ethnic or cultural origin,  Tajik,,330,
Ethnic or cultural origin,  Amhara,,50,
